# kgrid total_energy_eV
1.000000000000000000e+01 -9.754839187964704479e+02
2.000000000000000000e+01 -9.998819461200705518e+02
3.000000000000000000e+01 -1.003295911918545016e+03
4.000000000000000000e+01 -1.003694674612670838e+03
5.000000000000000000e+01 -1.003714873622914183e+03
6.000000000000000000e+01 -1.003725412455828518e+03
7.000000000000000000e+01 -1.003734425818563068e+03
8.000000000000000000e+01 -1.003738207792749677e+03
9.000000000000000000e+01 -1.003739087536790180e+03
1.000000000000000000e+02 -1.003739653805688476e+03
