# kgrid total_energy_eV
1.000000000000000000e+01 -4.876587897762754551e+02
2.000000000000000000e+01 -4.999395288158365815e+02
3.000000000000000000e+01 -5.016601074748515430e+02
4.000000000000000000e+01 -5.018584534287583097e+02
5.000000000000000000e+01 -5.018685990571756861e+02
6.000000000000000000e+01 -5.018738533032862961e+02
7.000000000000000000e+01 -5.018783859034967918e+02
8.000000000000000000e+01 -5.018802682509757460e+02
9.000000000000000000e+01 -5.018807064903128889e+02
1.000000000000000000e+02 -5.018809888084204545e+02
